dir,entry_time,entry,sl,tp,risk,type,exit_time,exit,result,points,r,year,cum_r
-1,2022-12-28 11:01:00,13492.25,13555.75,13428.75,63.5,continuation,2022-12-28 12:16:00,13428.75,TP,63.5,1.0,2022,1.0
1,2023-01-09 09:21:00,13838.25,13824.75,13851.75,13.5,continuation,2023-01-09 09:24:00,13851.75,TP,13.5,1.0,2023,2.0
1,2023-01-09 09:26:00,13853.25,13824.75,13881.75,28.5,continuation,2023-01-09 09:32:00,13881.75,TP,28.5,1.0,2023,3.0
1,2023-01-16 09:31:00,14243.75,14239.0,14248.5,4.75,continuation,2023-01-16 09:32:00,14248.5,TP,4.75,1.0,2023,4.0
1,2023-01-16 09:36:00,14248.5,14241.0,14256.0,7.5,continuation,2023-01-16 09:37:00,14256.0,TP,7.5,1.0,2023,5.0
1,2023-01-18 09:15:00,14360.0,14334.75,14385.25,25.25,continuation,2023-01-18 09:38:00,14334.75,SL,-25.25,-1.0,2023,4.0
1,2023-01-18 09:53:00,14366.5,14326.0,14407.0,40.5,continuation,2023-01-18 10:06:00,14407.0,TP,40.5,1.0,2023,5.0
1,2023-01-23 09:30:00,14357.0,14330.5,14383.5,26.5,continuation,2023-01-23 09:32:00,14330.5,SL,-26.5,-1.0,2023,4.0
1,2023-01-23 09:58:00,14455.0,14324.75,14585.25,130.25,continuation,2023-01-23 11:08:00,14585.25,TP,130.25,1.0,2023,5.0
-1,2023-01-25 09:28:00,14361.5,14371.5,14351.5,10.0,continuation,2023-01-25 09:31:00,14351.5,TP,10.0,1.0,2023,6.0
-1,2023-01-25 09:37:00,14354.0,14371.5,14336.5,17.5,continuation,2023-01-25 09:38:00,14336.5,TP,17.5,1.0,2023,7.0
1,2023-01-27 10:05:00,14800.5,14757.25,14843.75,43.25,continuation,2023-01-27 10:11:00,14843.75,TP,43.25,1.0,2023,8.0
1,2023-01-27 10:11:00,14827.5,14757.25,14897.75,70.25,continuation,2023-01-27 10:56:00,14757.25,SL,-70.25,-1.0,2023,7.0
1,2023-02-02 09:35:00,15335.25,15311.5,15359.0,23.75,continuation,2023-02-02 09:36:00,15359.0,TP,23.75,1.0,2023,8.0
1,2023-02-02 09:43:00,15372.75,15323.75,15421.75,49.0,continuation,2023-02-02 10:00:00,15323.75,SL,-49.0,-1.0,2023,7.0
-1,2023-02-07 09:15:00,15161.25,15174.75,15147.75,13.5,continuation,2023-02-07 09:31:00,15174.75,SL,-13.5,-1.0,2023,6.0
-1,2023-02-10 11:06:00,14986.25,15005.5,14967.0,19.25,continuation,2023-02-10 11:09:00,15005.5,SL,-19.25,-1.0,2023,5.0
-1,2023-02-10 11:35:00,14971.0,15017.75,14924.25,46.75,continuation,2023-02-10 12:04:00,14924.25,TP,46.75,1.0,2023,6.0
